line;x;y
mid;6,325925926;0,904246618
mid;6,42962963;0,910545369
mid;6,518518519;0,920075859
mid;6,637037037;0,926484872
mid;6,748148148;0,936182197
mid;6,874074074;0,945981022
mid;6,992592593;0,952570485
mid;7,103703704;0,962540842
mid;7,274074074;0,975997174
mid;7,437037037;0,989641627
mid;7,622222222;1,003476828
mid;7,733333333;1,013980012
mid;7,844444444;1,021043138
mid;7,985185185;1,031730185
mid;8,111111111;1,04252909
mid;8,237037037;1,053441026
mid;8,4;1,068168144
mid;8,533333333;1,083101147
mid;8,644444444;1,094437742
mid;8,725925926;1,105892995
mid;8,822222222;1,121353392
mid;8,918518519;1,133090365
mid;9;1,148930982
mid;9,118518519;1,169043532
mid;9,22962963;1,193643876
mid;9,303703704;1,214539145
mid;9,362962963;1,231518417
mid;9,42962963;1,253076697
mid;9,503703704;1,275012364
mid;9,577777778;1,301842626
mid;9,637037037;1,324631962
mid;9,703703704;1,352506376
mid;9,822222222;1,405141805
mid;10,04444444;1,511382793
mid;11,65925926;2,689021828
up;6,355555556;1,060779028
up;6,437037037;1,053441026
up;6,540740741;1,049791082
up;6,637037037;1,04252909
up;6,748148148;1,038916954
up;6,837037037;1,031730185
up;6,933333333;1,028155465
up;7,02962963;1,02459313
up;7,133333333;1,021043138
up;7,311111111;1,013980012
up;7,222222222;1,017505446
up;7,407407407;1,013980012
up;7,511111111;1,021043138
up;7,607407407;1,028155465
up;7,703703704;1,035317334
up;7,785185185;1,046153785
up;7,881481481;1,060779028
up;7,962962963;1,075608731
up;8,059259259;1,102061317
up;8,155555556;1,121353392
up;8,237037037;1,137029926
up;8,333333333;1,160956604
up;8,414814815;1,185386774
up;8,511111111;1,210331032
up;8,592592593;1,231518417
up;8,703703704;1,25743343
up;8,777777778;1,283893775
up;8,874074074;1,306368909
up;8,955555556;1,333859011
up;9,044444444;1,36192759
up;9,133333333;1,390586821
up;9,222222222;1,424785704
up;9,303703704;1,454767667
up;9,385185185;1,485380544
up;9,466666667;1,521910701
up;9,548148148;1,564760804
up;9,62962963;1,60324317
up;9,711111111;1,648383226
up;9,785185185;1,688922129
up;9,866666667;1,736474517
up;9,948148148;1,779179861
up;11,3037037;2,984109691
low;6,355555556;0,773492683
low;6,474074074;0,792515289
low;6,548148148;0,806388623
low;6,637037037;0,82335757
low;6,711111111;0,834868119
low;6,822222222;0,855400139
low;6,896296296;0,867358644
low;6,992592593;0,885610592
low;7,088888889;0,904246618
low;7,177777778;0,920075859
low;7,259259259;0,936182197
low;7,355555556;0,949270036
low;7,459259259;0,959205848
low;7,548148148;0,969245656
low;7,644444444;0,979390549
low;7,733333333;0,986212734
low;7,82962963;0,986212734
low;7,933333333;0,982795722
low;8,022222222;0,979390549
low;8,125925926;0,975997174
low;8,222222222;0,972615557
low;8,318518519;0,969245656
low;8,42962963;0,965887431
low;8,525925926;0,962540842
low;8,6;0,959205848
low;8,718518519;0,959205848
low;8,8;0,959205848
low;8,903703704;0,962540842
low;8,985185185;0,969245656
low;9,096296296;0,979390549
low;9,185185185;0,996535218
low;9,288888889;1,013980012
low;9,355555556;1,028155465
low;9,459259259;1,049791082
low;9,548148148;1,075608731
low;9,62962963;1,098242914
low;9,711111111;1,125252145
low;9,8;1,152925618
low;9,866666667;1,181279668
low;11,39259259;1,933731707
low;11,48888889;1,995089372
low;11,56296296;2,037072313
low;11,63703704;2,079938708
low;10,34814815;1,376182604
low;10,65925926;1,527202123
low;10,8962963;1,654114372
low;10,98518519;1,700686731
low;11,05925926;1,742511941
low;11,16296296;1,797802167
low;11,23703704;1,842015749
low;11,32592593;1,893878559
