line;x;y
mid;0,057971014;1,000694928
mid;1,014492754;0,943129898
mid;2,927536232;0,837743643
mid;4,84057971;0,747816343
mid;6,275362319;0,684226158
mid;8,188405797;0,613801105
mid;9,782608696;0,564386438
mid;11,2173913;0,526693574
mid;12,17391304;0,501321347
mid;13,05072464;0,481906452
mid;13,92753623;0,463243446
mid;14,88405797;0,447507181
mid;15,92028986;0,436595342
mid;16,87681159;0,425949573
mid;17,83333333;0,41968712
mid;19,10869565;0,409453634
mid;20,22463768;0,40343371
mid;21,34057971;0,399469678
mid;22,69565217;0,397502292
mid;24,44927536;0,397502292
mid;25,96376812;0,401446801
mid;27,39855072;0,40343371
mid;29,23188406;0,409453634
mid;30,98550725;0,415563386
mid;32,97826087;0,423851774
mid;34,73188406;0,432305473
mid;36,56521739;0,44092778
mid;39,19565217;0,454184757
mid;41,98550725;0,46784032
mid;44,53623188;0,481906452
mid;46,92753623;0,496395498
mid;49;0,508801923
mid;52,66666667;0,526693574
mid;57,36956522;0,558840928
mid;60;0,578492164
mid;63,1884058;0,59883442
up;0,057971014;1,000694928
up;1,971014493;0,924687069
up;3,724637681;0,862931324
up;5,47826087;0,805299972
up;6,355072464;0,777944132
up;7,311594203;0,751517562
up;8,188405797;0,729581883
up;9,144927536;0,704798167
up;10,02173913;0,687612646
up;11,05797101;0,664254615
up;12,97101449;0,626043333
up;13,92753623;0,613801105
up;14,88405797;0,59883442
up;15,76086957;0,587124261
up;16,87681159;0,581355335
up;17,91304348;0,578492164
up;19,02898551;0,578492164
up;20,06521739;0,575643093
up;21,10144928;0,575643093
up;22,2173913;0,581355335
up;23,33333333;0,587124261
up;24,36956522;0,595885165
up;25,08695652;0,604776796
up;26,2826087;0,619891998
up;29,23188406;0,664254615
up;34,01449275;0,747816343
up;47,72463768;1,09911
up;62,94927536;1,73103527
low;0,057971014;1,000694928
low;1,811594203;0,862931324
low;3,166666667;0,777944132
low;4,52173913;0,70132704
low;5,557971014;0,63852973
low;6,275362319;0,601798273
low;7,550724638;0,545214371
low;8,985507246;0,491518048
low;10,42028986;0,445303211
low;11,85507246;0,40343371
low;12,65217391;0,382108044
low;13,28985507;0,367309975
low;14,00724638;0,353084998
low;14,88405797;0,337739321
low;15,76086957;0,3262664
low;16,63768116;0,315183211
low;17,5942029;0,304476516
low;18,55072464;0,295589299
low;19,50724638;0,288381766
low;20,46376812;0,281349979
low;21,42028986;0,274489652
low;22,53623188;0,269122028
low;23,41304348;0,266477707
low;24,52898551;0,262559863
low;25,64492754;0,25998002
low;26,76086957;0,257425526
low;27,79710145;0,256157706
low;28,67391304;0,254896131
low;29,78985507;0,25239159
low;30,82608696;0,251148563
low;31,7826087;0,249911658
low;32,81884058;0,248680844
low;34,01449275;0,247456093
low;35,05072464;0,246237373
low;36,08695652;0,24381791
low;37,20289855;0,242617108
low;38,15942029;0,241422221
low;39,35507246;0,23905007
low;40,3115942;0,23787275
low;41,34782609;0,236701228
low;51,86956522;0,220893004
low;59,12318841;0,210252002
low;62,47101449;0,2051253
