line;x;y
mid;0;0,970264317
mid;0,001602564;0,941629956
mid;0,002884615;0,908590308
mid;0,004487179;0,879955947
mid;0,006730769;0,84030837
mid;0,008012821;0,816079295
mid;0,009615385;0,789647577
mid;0,011217949;0,765418502
mid;0,012820513;0,738986784
mid;0,01474359;0,710352423
mid;0,016346154;0,690528634
mid;0,021153846;0,631057269
mid;0,023076923;0,613436123
mid;0,025;0,593612335
mid;0,026923077;0,578193833
mid;0,028205128;0,567180617
mid;0,029807692;0,556167401
mid;0,031410256;0,547356828
mid;0,033012821;0,536343612
mid;0,034615385;0,531938326
mid;0,036217949;0,525330396
mid;0,03974359;0,514317181
mid;0,037820513;0,516519824
mid;0,041666667;0,509911894
mid;0,044230769;0,507709251
mid;0,046153846;0,507709251
mid;0,048076923;0,505506608
mid;0,05224359;0,498898678
mid;0,050320513;0,501101322
mid;0,054487179;0,496696035
mid;0,056730769;0,494493392
mid;0,058653846;0,490088106
mid;0,060897436;0,487885463
mid;0,064102564;0,485682819
mid;0,066346154;0,483480176
mid;0,069871795;0,481277533
mid;0,071474359;0,47907489
mid;0,074358974;0,47907489
mid;0,078205128;0,476872247
mid;0,081410256;0,476872247
mid;0,08525641;0,47246696
mid;0,088141026;0,470264317
mid;0,090384615;0,470264317
mid;0,092628205;0,468061674
mid;0,095833333;0,465859031
mid;0,098717949;0,459251101
mid;0,102564103;0,452643172
mid;0,108012821;0,441629956
mid;0,113141026;0,428414097
mid;0,117307692;0,417400881
mid;0,123717949;0,399779736
mid;0,130128205;0,384361233
mid;0,133012821;0,379955947
mid;0,136538462;0,371145374
mid;0,140064103;0,362334802
mid;0,143589744;0,357929515
mid;0,146474359;0,351321586
mid;0,150320513;0,342511013
mid;0,153205128;0,338105727
mid;0,156730769;0,331497797
mid;0,159615385;0,324889868
mid;0,1625;0,322687225
mid;0,165705128;0,320484581
mid;0,168589744;0,318281938
mid;0,171474359;0,316079295
mid;0,173397436;0,307268722
mid;0,175641026;0,307268722
mid;0,177884615;0,305066079
mid;0,181730769;0,302863436
mid;0,183974359;0,29845815
mid;0,187179487;0,300660793
mid;0,191025641;0,29845815
mid;0,195192308;0,294052863
mid;0,2;0,294052863
mid;0,207051282;0,294052863
mid;0,212179487;0,294052863
mid;0,215705128;0,29185022
mid;0,219871795;0,29185022
mid;0,225;0,294052863
mid;0,229166667;0,296255507
mid;0,234294872;0,300660793
mid;0,240064103;0,305066079
mid;0,246153846;0,311674009
mid;0,248717949;0,313876652
up;-0,000320513;1,210352423
up;0,001602564;1,175110132
up;0,003205128;1,133259912
up;0,004487179;1,102422907
up;0,005448718;1,082599119
up;0,006410256;1,06277533
up;0,007051282;1,047356828
up;0,008012821;1,034140969
up;0,008333333;1,018722467
up;0,009615385;1,003303965
up;0,01025641;0,985682819
up;0,011217949;0,970264317
up;0,012179487;0,950440529
up;0,013461538;0,93061674
up;0,01474359;0,910792952
up;0,016987179;0,879955947
up;0,018269231;0,855726872
up;0,020512821;0,835903084
up;0,022435897;0,813876652
up;0,024038462;0,796255507
up;0,025320513;0,783039648
up;0,026602564;0,765418502
up;0,028846154;0,754405286
up;0,030769231;0,745594714
up;0,032371795;0,736784141
up;0,034294872;0,730176211
up;0,036217949;0,723568282
up;0,038461538;0,716960352
up;0,037179487;0,719162996
up;0,03974359;0,716960352
up;0,040705128;0,716960352
up;0,041987179;0,721365639
up;0,043589744;0,723568282
up;0,045192308;0,723568282
up;0,046794872;0,721365639
up;0,049038462;0,723568282
up;0,050961538;0,721365639
up;0,05224359;0,723568282
up;0,053525641;0,723568282
up;0,055769231;0,721365639
up;0,058012821;0,721365639
up;0,059615385;0,721365639
up;0,061538462;0,723568282
up;0,063141026;0,723568282
up;0,06474359;0,723568282
up;0,066987179;0,723568282
up;0,068589744;0,725770925
up;0,071153846;0,725770925
up;0,073076923;0,727973568
up;0,075;0,732378855
up;0,076923077;0,732378855
up;0,079166667;0,734581498
up;0,081410256;0,736784141
up;0,083012821;0,74339207
up;0,084935897;0,74339207
up;0,086217949;0,74339207
