lines;point;X;Y
seg1;start;70,3038674;841,4893617
seg2;start;20,44198895;839,3617021
seg3;start;0,138121547;810,6382979
seg4;start;0,138121547;760,6382979
seg5;start;0,276243094;710,6382979
seg6;start;0,276243094;660,6382979
seg7;start;0,552486188;609,5744681
seg8;start;0,414364641;560,6382979
seg9;start;0,414364641;510,6382979
seg10;start;0,138121547;459,5744681
seg11;start;0,276243094;409,5744681
seg1;end;90,8839779;821,2765957
seg2;end;90,74585635;770,212766
seg3;end;90,74585635;719,1489362
seg4;end;91,16022099;670,212766
seg5;end;90,74585635;619,1489362
seg6;end;90,74585635;570,212766
seg7;end;90,60773481;519,1489362
seg8;end;90,8839779;470,212766
seg9;end;90,74585635;419,1489362
seg10;end;90,74585635;370,212766
seg11;end;50,13812155;360,6382979
c1;NA;29,4198895;358,5106383
c1;NA;35,49723757;390,4255319
c1;NA;42,26519337;419,1489362
c1;NA;50,96685083;451,0638298
c1;NA;62,98342541;484,0425532
c1;NA;78,17679558;513,8297872
c1;NA;90,8839779;530,8510638
c2;NA;9,392265193;361,7021277
c2;NA;14,36464088;441,4893617
c2;NA;20,44198895;509,5744681
c2;NA;28,03867403;562,7659574
c2;NA;35,22099448;598,9361702
c2;NA;50,55248619;644,6808511
c2;NA;70,71823204;674,4680851
c2;NA;90,74585635;689,3617021
c3;NA;4,005524862;360,6382979
c3;NA;6,629834254;463,8297872
c3;NA;12,70718232;589,3617021
c3;NA;22,09944751;675,5319149
c3;NA;39,50276243;738,2978723
c3;NA;60,77348066;762,7659574
c3;NA;76,38121547;769,1489362
c3;NA;90,60773481;769,1489362
c4;NA;2,071823204;360,6382979
c4;NA;4,419889503;529,787234
c4;NA;7,596685083;635,106383
c4;NA;13,39779006;717,0212766
c4;NA;23,89502762;777,6595745
c4;NA;40,46961326;808,5106383
c4;NA;70,16574586;815,9574468
c4;NA;90,74585635;808,5106383
c5;NA;0,966850829;359,5744681
c5;NA;2,348066298;530,8510638
c5;NA;4,281767956;642,5531915
c5;NA;7,458563536;727,6595745
c5;NA;11,87845304;780,8510638
c5;NA;17,81767956;814,893617
c5;NA;27,3480663;839,3617021
c6;NA;0,414364641;359,5744681
c6;NA;1,79558011;568,0851064
c6;NA;2,900552486;677,6595745
c6;NA;5,248618785;756,3829787
c6;NA;10,08287293;820,212766
c6;NA;13,39779006;838,2978723
c7;NA;8,011049724;840,4255319
c7;NA;2,486187845;720,212766
c7;NA;2,071823204;663,8297872
c7;NA;1,79558011;625,5319149
c7;NA;1,243093923;531,9148936
c7;NA;1,104972376;463,8297872
c7;NA;0,552486188;360,6382979
c8;NA;5,110497238;840,4255319
c8;NA;2,348066298;774,4680851
c8;NA;1,243093923;689,3617021
c8;NA;0,690607735;621,2765957
